[ 00:03:05.149 -->  00:03:06.432] CT SPEAKER_01
[ 00:03:06.567 -->  00:03:07.309] CU SPEAKER_01
[ 00:03:07.461 -->  00:03:10.380] CV SPEAKER_01
[ 00:03:11.309 -->  00:03:11.832] CW SPEAKER_00
[ 00:03:12.254 -->  00:03:14.464] CX SPEAKER_00
[ 00:03:15.173 -->  00:03:15.983] CY SPEAKER_01
[ 00:03:16.371 -->  00:03:16.945] CZ SPEAKER_00
[ 00:03:16.962 -->  00:03:17.046] DA SPEAKER_00
[ 00:03:19.949 -->  00:03:21.889] DB SPEAKER_00
[ 00:03:22.311 -->  00:03:23.610] DC SPEAKER_01
[ 00:03:26.175 -->  00:03:27.120] DD SPEAKER_00
[ 00:03:28.909 -->  00:03:31.879] DE SPEAKER_00
[ 00:03:32.132 -->  00:03:32.841] DF SPEAKER_00
[ 00:03:33.195 -->  00:03:34.259] DG SPEAKER_00
[ 00:03:33.449 -->  00:03:35.727] DH SPEAKER_01
[ 00:03:36.587 -->  00:03:37.667] DI SPEAKER_00
[ 00:03:41.295 -->  00:03:42.089] DJ SPEAKER_00
[ 00:03:42.865 -->  00:03:46.560] DK SPEAKER_00
[ 00:03:47.235 -->  00:03:47.607] DL SPEAKER_01
[ 00:03:47.607 -->  00:03:47.624] DM SPEAKER_00
[ 00:03:48.265 -->  00:03:48.687] DN SPEAKER_00
[ 00:03:51.049 -->  00:03:52.669] DO SPEAKER_00
[ 00:03:53.310 -->  00:03:54.002] DP SPEAKER_01
[ 00:03:55.065 -->  00:03:57.816] DQ SPEAKER_00
[ 00:03:58.407 -->  00:03:58.879] DR SPEAKER_01
[ 00:03:59.689 -->  00:04:02.929] DS SPEAKER_00
[ 00:04:03.317 -->  00:04:03.908] DT SPEAKER_01
[ 00:04:03.908 -->  00:04:03.925] DU SPEAKER_00
[ 00:04:05.680 -->  00:04:05.933] DV SPEAKER_00
[ 00:04:07.587 -->  00:04:11.839] DW SPEAKER_00
[ 00:04:12.126 -->  00:04:13.274] DX SPEAKER_00
[ 00:04:13.712 -->  00:04:14.421] DY SPEAKER_00
[ 00:04:15.552 -->  00:04:16.969] DZ SPEAKER_00
[ 00:04:16.969 -->  00:04:17.037] EA SPEAKER_01
[ 00:04:17.037 -->  00:04:17.054] EB SPEAKER_00
[ 00:04:17.054 -->  00:04:17.087] EC SPEAKER_01
[ 00:04:18.285 -->  00:04:18.657] ED SPEAKER_00
[ 00:04:18.657 -->  00:04:18.674] EE SPEAKER_01
[ 00:04:19.011 -->  00:04:19.028] EF SPEAKER_01
[ 00:04:19.028 -->  00:04:19.332] EG SPEAKER_00
[ 00:04:20.125 -->  00:04:20.142] EH SPEAKER_01
[ 00:04:20.142 -->  00:04:21.829] EI SPEAKER_00
[ 00:04:22.454 -->  00:04:23.432] EJ SPEAKER_01
[ 00:04:25.980 -->  00:04:27.398] EK SPEAKER_00
[ 00:04:27.837 -->  00:04:28.664] EL SPEAKER_00
[ 00:04:29.204 -->  00:04:29.845] EM SPEAKER_00
[ 00:04:30.334 -->  00:04:30.908] EN SPEAKER_01
[ 00:04:33.254 -->  00:04:33.456] EO SPEAKER_00
[ 00:04:34.384 -->  00:04:34.992] EP SPEAKER_00
[ 00:04:36.949 -->  00:04:41.303] EQ SPEAKER_00
[ 00:04:41.978 -->  00:04:42.990] ER SPEAKER_00
[ 00:04:43.244 -->  00:04:48.036] ES SPEAKER_00
[ 00:04:48.576 -->  00:04:51.445] ET SPEAKER_00
[ 00:04:51.951 -->  00:04:52.356] EU SPEAKER_01
[ 00:04:53.318 -->  00:04:55.461] EV SPEAKER_00
[ 00:04:57.486 -->  00:05:00.844] EW SPEAKER_00
[ 00:04:57.824 -->  00:04:58.245] EX SPEAKER_01
[ 00:05:01.199 -->  00:05:01.857] EY SPEAKER_01
[ 00:05:02.565 -->  00:05:02.667] EZ SPEAKER_00
[ 00:05:02.852 -->  00:05:03.932] FA SPEAKER_00
[ 00:05:04.422 -->  00:05:05.046] FB SPEAKER_00
[ 00:05:05.620 -->  00:05:05.687] FC SPEAKER_00
